Word,Count
*,705
the,454
in,231
,214
scenario,184
#endif,169
Added,153
[NC],146
to,144
#ifdef,133
@param,87
a,77
@throws,60
for,58
07,56
and,56
08,53
of,46
[EF],46
#if,44
album,42
image,38
is,37
@return,33
record,33
includeMMAPI,33
new,33
from,32
This,32
this,31
photo,31
includeVideo,31
||,29
data,28
screen,27
Case:,26
&&,26
that,26
on,25
name,25
PersistenceMechanismException,25
just,24
store,24
=,24
support,24
Changed,23
07:,23
includePhotoAlbum,22
class,22
includeSmsFeature,22
@author,21
Add,21
first,21
by,21
it,20
with,20
includeCopyPhoto,20
below,19
generic,19
AbstractController,19
line,19
all,18
Created,18
Photo,18
or,18
Get,18
capturePhoto,18
set,17
SMS,17
are,17
if,17
will,16
includePrivacy,16
InvalidImageDataException,15
The,15
includeSorting,14
Returns,14
06,14
we,14
02,13
array,13
Image,13
list,13
current,13
Eduardo,12
controller,12
be,12
can,12
Figueiredo,12
@see,12
(non-Javadoc),12
method,12
stores,12
-,12
Album,11
default,11
MobilePhoto,11
application,11
metadata,11
into,11
If,10
mmedi,10
#,10
captureVideo,10
as,10
an,10
It,10
hashtable,9
photos,9
ID,9
device,9
03,9
includeFavourites,9
images,9
trevor,8
any,8
used,8
byte,8
includeVideo),8
TODO:,8
tyoung,8
RMS,8
{,8
delete,8
@,8
8,8
changed,8
menu,8
(includeMMAPI,8
Convert,7
message,7
Scenario,7
selected,7
albums,7
\MultiMediaData(media,\,7
so,7
midlet,7
recordId,7
send,7
Constructor,7
load,7
object,7
commands,7
command,7
specific,7
Copy,7
handle,7
create,7
nextController,7
includePhotoAlbum)||(includeMMAPI,7
different,7
albumData,7
int,7
includePhotoAlbum),7
them,7
(includeVideo,7
standard,6
albumname,6
currentScreenName,6
next,6
Date:,6
feature,6
\Now,\,6
Set,6
main,6
static,6
names,6
return,6
Computing,6
ImageNotFoundException,6
Record,6
not,6
associated,6
only,6
testing,6
Department,6
University,6
label,6
defined,6
Lancaster,6
2007,6
2004,6
Initialize,6
pass,6
they,5
Define,5
connection,5
thread,5
messaging,5
J2ME,5
existing,5
final,5
public,5
#elif,5
have,5
core,5
functionality,5
Handle,5
Delete,5
back,5
(ie,5
use,5
05,5
albumListScreen,5
user,5
Sep,5
order,5
currently,5
handled,5
some,5
display,5
ImageInfo,5
handleCommand,5
you,5
objects,5
go,5
should,5
Go,5
optional,5
