
Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,52,5744,3189,2575,322,910,27,1645,6939,132,377
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src,52,5744,3189,2575,322,910,27,1645,6939,132,377
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs,52,5744,3189,2575,322,910,27,1645,6939,132,377
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia,52,5744,3189,2575,322,910,27,1645,6939,132,377
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core,38,4964,2729,2206,289,747,16,1488,6168,119,343
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\comms,1,30,9,8,0,8,0,13,85,4,6
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\threads,1,26,10,7,0,4,0,12,58,0,0
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\ui,33,4592,2540,2054,270,686,16,1366,5541,109,321
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\ui\controller,12,2082,1228,1003,184,270,4,584,2464,67,180
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\ui\datamodel,9,1288,662,508,48,195,11,431,1767,23,73
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\ui\screens,10,1005,564,462,38,185,1,256,920,19,68
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\core\util,3,316,170,137,19,49,0,97,484,6,16
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\lib,9,156,107,71,5,49,0,0,0,0,0
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\lib\exceptions,8,156,107,71,5,49,0,0,0,0,0
C:\Users\ckaestne\Documents\uni\workspaces\cide2runtime\MobileMedia08_OO\src\lancs\mobilemedia\sms,6,624,353,298,28,114,11,157,771,13,34
